,Adelaide_Site_7,Birdsville,Fowlers_Gap,Lake_Argyle,Lake_Lefroy,Learmonth,Lucinda,Tumbarumba
0,138.656483,139.34596000000002,141.70082,128.7485,121.705,114.0967,146.3861,147.9499
1,-34.725066999999996,-25.89893,-31.0863,-16.1081,-31.255,-22.2407,-18.5198,-35.7083
2,"(None, None)","(0.2195116448274707, 1.4486397316170736)","(0.2197605502379135, 1.562051466533744)","(0.20504088441538681, 1.4644796622113827)","(0.3337057463071631, 1.6603028076832325)","(0.40974750812499156, 1.768267051433735)","(0.30364146995860525, 1.6503708166063191)","(0.2672696839283153, 1.50080255245802)"
