,Adelaide_Site_7,Birdsville,Fowlers_Gap,Lake_Argyle,Lake_Lefroy,Learmonth,Lucinda,Tumbarumba
0,138.656483,139.34596000000002,141.70082,128.7485,121.705,114.0967,146.3861,147.9499
1,-34.725066999999996,-25.89893,-31.0863,-16.1081,-31.255,-22.2407,-18.5198,-35.7083
2,,1042198046.8217744,529563361.8535046,602164811.0232149,157644089.06445926,86982589.28629676,170628632.57379416,1475567197.1184464
